ID,DEMOG_AGE,DEMOG_REGION,DEMOG_ETHNICITY,DEMOG_RELIGION,RESPONDENT_WEIGHT,DEMOG_SOCIAL_GRADE,HEALTH_VULNERABILITY,PRIVATE_NON_CONTACT,PRIVATE_CONTACT,PUBLIC_NON_CONTACT,PUBLIC_CONTACT
26,45-54,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.723682492,Higher managerial/professional/administrative,0,0,0,0,0
27,35-44,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.648117105,Intermediate managerial/ professional/ administrative,0,0.648117105,0,0.648117105,0
28,35-44,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.648117105,Intermediate managerial/ professional/ administrative,0,0.648117105,0.648117105,0.648117105,0
29,35-44,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.788988069,Intermediate managerial/ professional/ administrative,0,0,0,0.788988069,0
30,45-54,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.784294952,NOT COLLECTED,0,0.784294952,0.784294952,0.784294952,0
31,25-34,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,1.083558295,Semi or unskilled manual worker,0,1.083558295,0,1.083558295,0
32,45-54,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.808559353,Intermediate managerial/ professional/ administrative,0.808559353,0.808559353,0,0.808559353,0
33,45-54,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.631469245,Intermediate managerial/ professional/ administrative,0.631469245,0.631469245,0,0,0
34,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.589610953,Intermediate managerial/ professional/ administrative,0,0.589610953,0,0.589610953,0
35,25-34,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.557657901,Intermediate managerial/ professional/ administrative,0.557657901,0,0,0.557657901,0
36,55-64,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.575793534,Higher managerial/professional/administrative,0,0,0,0,0
37,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.589610953,Intermediate managerial/ professional/ administrative,0,0.589610953,0,0,0
38,55-64,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.516676906,Higher managerial/professional/administrative,0,0,0,0.516676906,0
39,45-54,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.723682492,Intermediate managerial/ professional/ administrative,0,0.723682492,0,0.723682492,0
40,45-54,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.142131623,NOT COLLECTED,1.142131623,0,0,1.142131623,0
41,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.589610953,Higher managerial/professional/administrative,0,0,0,0.589610953,0
42,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.752802789,Supervisory or clerical/ junior managerial/ professional/ administrator,0.752802789,0.752802789,0.752802789,0,0
43,45-54,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",,0.590473054,Intermediate managerial/ professional/ administrative,0.590473054,0,0,0.590473054,0
44,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.675381403,Intermediate managerial/ professional/ administrative,0,0,0,0.675381403,0
45,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.860324425,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.860324425,0,0.860324425,0
46,45-54,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.531840072,Intermediate managerial/ professional/ administrative,0,0.531840072,0,0.531840072,0
47,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.658033218,Higher managerial/professional/administrative,0.658033218,0,0,0,0
48,35-44,West Midlands,,,2.015681152,NOT COLLECTED,2.015681152,2.015681152,0,2.015681152,0
49,45-54,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.723682492,Intermediate managerial/ professional/ administrative,0,0.723682492,0.723682492,0.723682492,0.723682492
50,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.691588649,Intermediate managerial/ professional/ administrative,0.691588649,0.691588649,0,0.691588649,0
51,55-64,Wales,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,1.014161626,Unemployed (for over 6 months) or not working due to long term sickness,1.014161626,1.014161626,0,1.014161626,0
52,35-44,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,1.007363273,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0,0
53,55-64,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.575793534,Intermediate managerial/ professional/ administrative,0,0,0,0.575793534,0
54,55-64,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.218614493,Unemployed (for over 6 months) or not working due to long term sickness,1.218614493,0,0,1.218614493,0
55,35-44,South West,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Christian/Protestant/Methodist/Lutheran/Baptist,1.106506897,Intermediate managerial/ professional/ administrative,0,0,0,1.106506897,0
56,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.597381727,Higher managerial/professional/administrative,0,0,0,0,0
57,45-54,East of England,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Hindu,1.11586193,Intermediate managerial/ professional/ administrative,1.11586193,1.11586193,1.11586193,1.11586193,0
58,45-54,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Hindu,1.195348485,Higher managerial/professional/administrative,0,0,0,1.195348485,0
59,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.597381727,Intermediate managerial/ professional/ administrative,0.597381727,0.597381727,0.597381727,0.597381727,0
60,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.673824156,Intermediate managerial/ professional/ administrative,0.673824156,0,0,0.673824156,0
61,45-54,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.923982493,Supervisory or clerical/ junior managerial/ professional/ administrator,0.923982493,0.923982493,0,0.923982493,0
62,65+,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,1.150121959,Intermediate managerial/ professional/ administrative,1.150121959,0,0,0,0
63,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.673824156,Intermediate managerial/ professional/ administrative,0.673824156,0,0,0.673824156,0
64,45-54,Northern Ireland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.566881088,Higher managerial/professional/administrative,0.566881088,0,0,0,0
65,55-64,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.707507212,Intermediate managerial/ professional/ administrative,0,0.707507212,0.707507212,0,0
66,65+,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.898590565,Intermediate managerial/ professional/ administrative,0,0.898590565,0.898590565,0.898590565,0
67,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.589610953,Higher managerial/professional/administrative,0,0,0,0,0
68,35-44,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.54586134,Intermediate managerial/ professional/ administrative,0.54586134,0,0,0.54586134,0
69,45-54,Yorkshire And The Humber,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",,1.14709377,Intermediate managerial/ professional/ administrative,1.14709377,0,0,0,0
70,45-54,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.631469245,Intermediate managerial/ professional/ administrative,0,0,0,0.631469245,0
71,18-24,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.84507985,Semi or unskilled manual worker,0.84507985,0.84507985,0,0.84507985,0
72,55-64,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,1.044400644,Unemployed (for over 6 months) or not working due to long term sickness,1.044400644,0,1.044400644,0,0
73,35-44,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,1.39183766,Skilled manual worker,0,0,0,1.39183766,0
74,18-24,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.793014096,Supervisory or clerical/ junior managerial/ professional/ administrator,0.793014096,0.793014096,0.793014096,0.793014096,0
75,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.392667281,Semi or unskilled manual worker,0,1.392667281,0,1.392667281,0
76,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,1.413132606,Skilled manual worker,0,0,0,0,0
77,18-24,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.793014096,Supervisory or clerical/ junior managerial/ professional/ administrator,0.793014096,0.793014096,0.793014096,0.793014096,0
78,55-64,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.633238093,Higher managerial/professional/administrative,0,0.633238093,0,0,0
79,45-54,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",,0.80624657,Supervisory or clerical/ junior managerial/ professional/ administrator,0.80624657,0.80624657,0.80624657,0,0
80,18-24,London,"Black, Black British, Caribbean, or African - African, Caribbean, Any other Black, Black British, or Caribbean background",Catholic,1.201264408,Student,0,1.201264408,0,1.201264408,1.201264408
81,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.392667281,Unemployed (for over 6 months) or not working due to long term sickness,1.392667281,1.392667281,0,1.392667281,0
82,18-24,Yorkshire And The Humber,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Muslim,1.183343071,Student,0,0,0,1.183343071,0
83,25-34,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Nothing in particular,1.085172181,Intermediate managerial/ professional/ administrative,0,1.085172181,0,1.085172181,0
84,55-64,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.903330238,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.903330238,0
85,25-34,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.616454249,Student,0.616454249,0,0,0.616454249,0
86,65+,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,1.435763617,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0,0
87,65+,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,2.03725543,Semi or unskilled manual worker,0,0,0,2.03725543,0
88,35-44,South West,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Nothing in particular,1.106506897,Intermediate managerial/ professional/ administrative,0,1.106506897,1.106506897,1.106506897,0
89,18-24,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Muslim,1.233122682,Student,1.233122682,1.233122682,1.233122682,1.233122682,1.233122682
90,25-34,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.482819913,Higher managerial/professional/administrative,0.482819913,0.482819913,0,0.482819913,0
91,55-64,Wales,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.572539672,NOT COLLECTED,0,0,0,0,0
92,25-34,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.557657901,Intermediate managerial/ professional/ administrative,0,0,0,0.557657901,0
93,18-24,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.584714872,Intermediate managerial/ professional/ administrative,0.584714872,0.584714872,0.584714872,0.584714872,0.584714872
94,65+,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,1.746008187,Retired and living on state pension only,0,1.746008187,1.746008187,1.746008187,0
95,18-24,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.746551576,Student,0,0.746551576,0,0.746551576,0
96,65+,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.985699843,Higher managerial/professional/administrative,0,0,0,0.985699843,0
97,65+,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.923741201,Intermediate managerial/ professional/ administrative,0.923741201,0.923741201,0.923741201,0,0
98,65+,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.636258453,Retired and living on state pension only,1.636258453,0,0,0,0
99,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Greek or Russian Orthodox,1.058165316,Semi or unskilled manual worker,1.058165316,1.058165316,1.058165316,1.058165316,1.058165316
100,25-34,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.684415564,Supervisory or clerical/ junior managerial/ professional/ administrator,0.684415564,0.684415564,0,0.684415564,0
101,25-34,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,1.264303934,Semi or unskilled manual worker,0,0,0,0,0
102,18-24,Wales,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.674991602,Student,0.674991602,0.674991602,0.674991602,0.674991602,0
103,55-64,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.516676906,Intermediate managerial/ professional/ administrative,0,0.516676906,0.516676906,0.516676906,0
104,25-34,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.731934126,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0.731934126,0
105,25-34,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.731934126,Supervisory or clerical/ junior managerial/ professional/ administrator,0.731934126,0.731934126,0.731934126,0.731934126,0
106,55-64,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.575793534,Higher managerial/professional/administrative,0,0.575793534,0,0.575793534,0
107,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.193570742,Unemployed (for over 6 months) or not working due to long term sickness,0,1.193570742,0,1.193570742,0
108,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.656980051,Intermediate managerial/ professional/ administrative,0.656980051,0.656980051,0,0.656980051,0
109,35-44,London,"Mixed or multiple ethnic groups - White and Black Caribbean, White and Black African, White and Asian, Any other Mixed or multiple ethnic background",Nothing in particular,0.92609632,Higher managerial/professional/administrative,0,0,0,0.92609632,0
110,35-44,London,"Asian or Asian British - Indian, Pakistani, Bangladeshi, Chinese, Any other Asian background",Nothing in particular,1.226862284,Intermediate managerial/ professional/ administrative,1.226862284,0,0,0,0
111,18-24,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,1.024545518,Skilled manual worker,1.024545518,1.024545518,1.024545518,1.024545518,0
112,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.883005753,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.883005753,0,0.883005753,0.883005753
113,35-44,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.829875963,Intermediate managerial/ professional/ administrative,0,0,0,0,0
114,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.673824156,Intermediate managerial/ professional/ administrative,0,0.673824156,0,0.673824156,0
115,25-34,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",,0.611717201,Higher managerial/professional/administrative,0,0,0,0.611717201,0
116,,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,1.015448514,Retired and living on state pension only,1.015448514,0,0,0,0
117,35-44,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.806950815,Higher managerial/professional/administrative,0.806950815,0.806950815,0,0.806950815,0
118,18-24,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,1.157203045,Semi or unskilled manual worker,1.157203045,0,1.157203045,1.157203045,1.157203045
119,18-24,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.510209191,Intermediate managerial/ professional/ administrative,0.510209191,0.510209191,0.510209191,0.510209191,0.510209191
120,35-44,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.606040104,Intermediate managerial/ professional/ administrative,0,0,0,0,0
121,45-54,Yorkshire And The Humber,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.35608622,Skilled manual worker,0,1.35608622,0,1.35608622,0
122,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.762724349,Supervisory or clerical/ junior managerial/ professional/ administrator,0.762724349,0,0,0,0
123,18-24,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Catholic,0.496317761,Higher managerial/professional/administrative,0,0,0,0.496317761,0
124,35-44,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.675381403,Intermediate managerial/ professional/ administrative,0,0,0,0.675381403,0
